school,county,type
AVALON MIDDLE SCHOOL,SANTA ROSA,k12
AVALON MIDDLE SCHOOL,ORANGE,k12
AVANT GARDE ACADEMY OF BROWARD,BROWARD,k12
AVANT SCHOOL OF EXCELLENCE,MIAMI-DADE,k12
AVE MARIA UNIVERSITY,COLLIER,university
AVE MARIA UNIVERSITY PREPARATORY SCHOOL INC,MANATEE,k12
AVEDA INSTITUTE,BROWARD,university
AVEDA INSTITUTE - BRANDON,HILLSBOROUGH,university
AVEDA INSTITUTE - TALLAHASSEE,LEON,university
AVEDA INSTITUTE DAVIE,BROWARD,university
AVENTURA CITY OF EXCELLENCE SCHOOL,MIAMI-DADE,k12
AVENTURA LEARNING CENTER,MIAMI-DADE,k12
AVENTURA WATERWAYS K-8 CENTER,MIAMI-DADE,k12
AVIATION INSTITUTE OF MAINTENANCE,SEMINOLE,university
AVIATOR COLLEGE,ST. LUCIE,university
AVOCADO ELEMENTARY SCHOOL,MIAMI-DADE,k12
AVON ELEMENTARY SCHOOL,HIGHLANDS,k12
AVON PARK HIGH SCHOOL,HIGHLANDS,k12
AVON PARK MIDDLE SCHOOL,HIGHLANDS,k12
AZALEA ELEMENTARY SCHOOL,PINELLAS,k12
AZALEA MIDDLE SCHOOL,PINELLAS,k12
AZALEA PARK BAPTIST SCHOOL,ORANGE,k12
AZALEA PARK ELEMENTARY SCHOOL,ORANGE,k12
AZALEA PARK LEARNING CENTER,ORANGE,k12
